"name","source_side","source_path","candidate_path","file_count","dir_count","size_bytes","has_skill_md","has_agents_dir","has_references_dir","has_scripts_dir"
"pdf","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\pdf","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\pdf","13","3","88868","True","False","False","True"
"pricing-strategy","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\pricing-strategy","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\pricing-strategy","5","2","42762","True","False","True","True"
"process-doc","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\process-doc","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\process-doc","2","0","12899","True","False","False","False"
"saas-metrics-coach","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\saas-metrics-coach","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\saas-metrics-coach","8","3","36447","True","False","True","True"
"scientific-problem-selection","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\scientific-problem-selection","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\scientific-problem-selection","11","1","118326","True","False","True","False"
"seaborn-visualization","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\seaborn-visualization","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\seaborn-visualization","1","0","4352","True","False","False","False"
"seo-audit","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\seo-audit","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\seo-audit","3","1","18093","True","False","True","False"
"skill-creator","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\skill-creator","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\skill-creator","1","0","18596","True","False","False","False"
"webapp-building","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\webapp-building","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\webapp-building","53","28","18809718","True","False","False","True"
"widget","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\widget","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\widget","2","1","22436","True","False","True","False"
"widgetdesign","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\widgetdesign","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\widgetdesign","168","10","3020025","True","True","True","False"
"xlsx","kimi","C:\Users\sundh\AppData\Roaming\kimi-desktop\daimon-share\daimon\skills\xlsx","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\xlsx","9","4","139662","True","False","False","True"
"code-review","codex","C:\Users\sundh\.codex\skills\code-review","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\code-review","2","1","6840","True","True","False","False"
"grill-me","codex","C:\Users\sundh\.codex\skills\grill-me","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\grill-me","2","1","253","True","True","False","False"
"math-model-selector","codex","C:\Users\sundh\.codex\skills\math-model-selector","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\math-model-selector","6","3","63464","True","True","True","True"
"research","codex","C:\Users\sundh\.codex\skills\research","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\research","2","1","893","True","True","False","False"
"shortdrama-video-generation","codex","C:\Users\sundh\.codex\skills\shortdrama-video-generation","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\shortdrama-video-generation","3","1","6356","True","False","True","False"
"speech","codex","C:\Users\sundh\.codex\skills\speech","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\speech","16","4","48773","True","True","True","True"
"to-spec","codex","C:\Users\sundh\.codex\skills\to-spec","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\to-spec","2","1","3177","True","True","False","False"
"to-tickets","codex","C:\Users\sundh\.codex\skills\to-tickets","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\to-tickets","2","1","5822","True","True","False","False"
"transcribe","codex","C:\Users\sundh\.codex\skills\transcribe","C:\Users\sundh\Documents\KIMI_MODE\createMCP\MCPCreate20260719\04_技能包\skills-shared-candidate\transcribe","7","4","25203","True","True","True","True"
